name,alternate_name,alternate_name_cite,petrographic_details,petrographic_details_cite,age,age_cite,appearance,appearance_cite,poisson_ratio_low,poisson_ratio_low_citation,poisson_ratio_high,poisson_ratio_high_citation,absorption,absorption_cite,quarry_location,quarry_location_cite,archaeological_sources,archaeological_sources_cite,primary_sources,primary_sources_cite,secondary_sources,secondary_sources_cite,shapefile,shapefile_cite,notes,notes_cite,beginning_date,beginning_date_cite,ending_date,ending_date_cite,dates_of_use,dates_of_use_cite,density_avg,density_avg_cite,density_low,density_low_cite,density_high,density_high_cite,elastic_modulus_average,elastic_modulus_average_cite,elastic_modulus_low,elastic_modulus_low_cite,elastic_modulus_high,elastic_modulus_high_cite,image,image_cite,rupture_modulus_average,rupture_modulus_average_cite,rupture_modulus_low,rupture_modulus_low_cite,rupture_modulus_high,rupture_modulus_high_cite,compressive_strength_average,compressive_strength_average_cite,compressive_strength_low,compressive_strength_low_cite,compressive_strength_high,compressive_strength_high_cite
Nubian Sandstone,"quartz sandstone, dark amphibolite",155,subarkosic arenite to quartz arenite sandstone,16,Lower to Upper Cretaceous,16,"Brown, very porous",16,,,,,,,"Nile Valley: Roman quarries at Nag el-Dumariyya village, East Bank; Gebel el-Silsila, East and West Bank; Nag el-Hosh village, West Bank; Gharb el-Gaafra district, East Bank; Gharb Aswan district, West Bank; E and SE of Aswan city, East Bank; under Lake Nasser, West Bank; north of Qasr Ibrim ruins, East Bank; Eastern Desert: Wadi el Muweih, Wadi el-Kanayis; Western Desert: Bahariya Oasis, Dakhla Oasis, Kharga Oasis",16,Sandstone from Kharga Oasis might have been use for the Roman temple at Qasr Dush,14,,,Nubian sandstone associated with an important Egyptian acquifer; ,152,,,"Loosely cemented with quartz, iron oxide, chlorite clay, some kaolinite clay and calcite",16,,,reign of Antoninus Pius 2nd century CE,14,Greek inscriptions at El Hosh indicate occupation until at least the reign of Antoninus Pius (mid-2nd century CE),14,2080,297,,,,,,,,,,,image in folder,154,,,,,,,,,,,,
pedra d'Altafulla,,,Limestone,14,,,,,0.2,295,0.3,295,,,"Quarried at Els Munts, 16 km E of Tarragona, Spain and Platja dels Capellans, 15 km E of Tarragona; local use",14,,,,,,,,,,,,,,,Imperial Period,14,2484,309,1890,309,3010,309,,,,,,,,,,,,,,,,,,,,
pedra de Santa Tecla,llisos,14,Limestone,14,,,Yellow-pink ,14,0.2,295,0.3,295,,,"Quarried at El Llorito, just east of Tarragona, Spain; mostly used at Tarragona during Roman times; comes from the Santa Tecla chapel in Tarragona cathedral ",14; 156,"found in the Roman pedastal of the Santa Tecla chapel, Veneto, Italy ",217,Used during the Flavian period based on Lucius Pedanius Euphronius (sometime between 110 to 130 AD),218,the Santa Tecla chapel was built in a roman tradition by which the chapel was named after the stone it was made of ,217,,,not used much in scultpure ,256,16 CE,298,15th-19th century,299,"used sometime around the Flavian period, 110-130 AD (this does not represent a start and end date for usage)",218,2484,309,1890,309,3010,309,,,,,,,image in folder,217,,,,,,,,,,,,
pedra del Llorito,,,Limestone,14,,,,,0.2,295,0.3,295,,,"Coves del Llorito, near Tarragona, Spain; local use",14,,,,,,,,,Serrallo (maritime district of Tarragona) quarries used as hideout during Spain's civil war,219,,,,,,,2484,309,1890,309,3010,309,,,,,,,image in folder,220,,,,,,,,,,,,
pedra del Médol,,,Limestone,14,,,golden yellow color,221,0.2,295,0.3,295,,,"Local use, with quarries at and around Tarragona, Spain: El Médol, Mas del Marquès, Platja l'Arrabassada, and Punta de la Creueta",14,,,,,"El Mèdol is a large gully of more than 200 meters in length and a width of between 10 and 40 meters, produced by the constant stone extraction in Roman times, this stone is very easy to work, with which a large number of the most important Roman buildings in Tàrraco were built.",221,,,"At the center of the quarry stands a stone needle of 16 meters high that marks the original quota of the rock before starting the operation. It is estimated that roughly a total of 50,000 m3 of stone was extracted from this quarry.",221,,,,,"this quarry was also used in medieval times. The transfer of the ashlars to the city was realized via Via Hercúlia, well-known later like Via Augusta, that was little distance of the quarry.",221,2484,309,1890,309,3010,309,,,,,,,image in folder,221,,,,,,,,,,,,
pedra dels Clots,,,Sandstone,14,,,,,,,,,,,"Used locally with quarries at Clots de Sant Julià, and Puig d’en Torró, near Girona, Spain; and Domeny, in Girona",14,no archaeological intervention has yet been made in a hurry to help determine with certainty what its history is,222,,,"It has been speculated, even, that the walls of the pre-Roman city of Puig de Sant Andreu d'Ullastret or Empuries could have been scaffolded with this stone",222,,,the majority of churches and medieval monuments of the neighborhood around the quarries are built with this stone,222,,,,,either Roman/pre-Roman origins,222,2463,309,1510,309,3000,309,,,,,,,image in folder,222,,,,,,,,,,,,
pedra d'Empúries,,,Limestone,14,,,,,0.2,295,0.3,295,,,"Local use during Roman times, with quarries at Sant Marti d’Empúries, near Empúries, Spain",14,"excavations in Empúries began in the year 1908 and continue today, only about 25 % of the surface is observable",223,,,The historical name of Empúries comes from the Greek term “Emporion” which means market place or commercial centre and correctly describes the purpose of the site.  The city was favourably situated at the delta (at that time) of the (river) Fluvia and at the crossing of several trade routes.  The natural harbour basins in front of Emporion offered protection to the trading vessels.,223,,,"During the second Punic war, in the third century before Christ, Emporion became a Roman possession, called Emporiae.  This was the beginning of the romanisation of the Iberian Peninsula.",223,6th century BCE,223,3rd century CE,223,"quarrying here began with the Greeks in the 6th century BC, Later, Empúries lost its importance, in the third Century after Christ the city was completely abandoned.  When, during the 17-century, fishermen created L’Escala, many Greek and Roman stones from Emporion or Emporiae served as the building material.",223,2482,309,1890,309,3010,309,,,,,,,image in folder,223,,,,,,,,,,,,
porfido rosso laterizio,lateritic red porphyry,16,rhyolite porphyry,16,,,pink-brown groundmass with pink phenocrysts (crystals) and colorless/bluish quartz,16,,,,,,,"Eastern Egyptian desert: Gebel Dokhan (Mons Porphyrites) and Wadi Abu Gerida, 10 km NW of Maghrabiya",14,,,,,,,,,"Aphanitic groundmass, phenocrysts made of euhedral to subhedral alkali feldspar, up to 25 mm; exported in small amounts",16; 14,1st-2nd century CE,16,,,Imperial Period; specifically 1st to 2nd century CE at Wadi Abu Gerida,14; 16,,,,,,,,,,,,,Image in folder ,150,,,,,,,,,,,,
rosa ajamonado,,,limestone,14,,,Pink,14,0.2,295,0.3,295,,,"Quarried at Alconera, near Badajoz, modern Spain; local and regional use",14,,,,,,,,,,,,,,,,,2484,309,1890,309,3010,309,,,,,,,image in folder,12,,,,,,,,,,,,
rosso antico,marmor taenarium.,15,marble of hematite,15,,,Red/Purple/Pink,15,0.2,295,0.3,295,,,"Greece, Laconia, Peninsula of Mani; quarried at Laghia-Dimaristika, Marmaro, Mianes/Kokkinoghia, Platsa, Profitis Elias, Vathia, and exported between regions",15; 14,"Paving stones and opus sectile: S. Pietro in Vincoli, S. Sabina. Cornices: S. Maria Maddalena. Paving stones: S. Paolo fuori le Mura. Gradini: 14 in the large altar of the Church of S. Prassede, later used for the throne of Napoleon. Balustrades: Church of S. Prassede. Mattonelle, statuary, colonnine, capitals.",15,"Strabo, Geography: 8.5.7",80,"used by the Minoans at Knossos, and by the Mycenaeans for carved decoration on the Treasury of Atreus",117,,,"By the 1st century AD, rosso antico from Cape Taenarum was being used in imperial building programs in Rome; extraction of rosso antico at Cape Tenaro, modern day Matapan, helped create organized marble trade and open commerial trade routes",119; 129,"1st century BCE; used in Mycenaean times, then perhaps again since Hellenism for small columns and decorations and sculptures",119; 280,,,"Exported by early Roman times, 1st century BCE ",119,2690,12,,,,,,,,,,,image in folder,12,,,,,,,,,,,,
Sarno Limestone,,,travertine,14,,,,,,,,,,,"Used locally and quarried from the Sarno Valley, E of Pompeii, Italy",14,"Casa del Chirurgo, Pompeii ",224,,,facade and the walls of the Casa del Chirurgo atrium are built of large hewn blocks of Sarno limestone,224,,,,,,,,,dates from at least the Samnite period,224,,,,,,,,,,,,,image in folder,224,,,,,,,,,,,,
serrancolin,,,marble,14,,,Similar to pavonazzetto; a name that refers to purple/gray veins,14; 26,0.2,295,0.3,295,0.07,12,"Quarried at Alconera, near Badajoz, modern Spain; local and regional use ",14,,,,,,,,,,,,,,,,,2720,12,2510,309,3140,309,,,,,,,image in folder,225,,,,,,,115.66,12,,,,
soldó,pedra de los Coves,14,Limestone,14,,,,,0.2,295,0.3,295,,,"Local use, with quarries near Tarragona, Spain, at Coves de la Pedrera, Mas dels Arcs,Pedreres de l’Aqüeducte, and Torre d’en Dolça",14,,,,,,,,,,,,,,,,,2484,309,1890,309,3010,309,,,,,,,image in folder,226,,,,,,,,,,,,
Sudbrook sandstone,,,sandstone,14,,,,,,,,,,,"Quarried at Caerwent, SE Wales, Britain; local use",14,,,,,"Sudbrook Sandstone has a limited distribution. It forms a discontinuous horizon above the
Dolomitic Conglomerate, low within the Mercian Mudstone Group of the Triassic succession of
south Wales",227,,,"deposited as fluvial sandstone in seasonal braided streams within an undulating
Carboniferous land surface",227,,,,,Imperial Period,14,2463,309,1510,309,3000,309,,,,,,,image in folder,227,,,,,,,,,,,,
Upper and Lower Greensands,,,silicified glauconitic quartz sandstone,14,cretaceous ,228,greenish color,230,,,,,,,"Quarried at Farnham, in the Weald, SE England; used at Silchester (probably)",14,bed of greensands retain some sponge remains,228,,," the upper greensand may be regarded as comprising two broad divisions, an
 upper, in which beds of chert are largely developed, and a lower, principally consisting
 of micaceous and quartzitic sands, with occasional layers of chert. ",229,,,,,,,,,,,,,,,,,,,,,,,image in folder,231,,,,,,,,,,,,
anasol,"Gris Anasol, Anasol Macael, Anasol Marble",,limestone,14,,,Gray,12,0.2,295,0.3,295,0.07,12,"Quarried at Macael, in the Almeria province of Spain",14,,,,,"The Spanish “anasol” and Portuguese “anasol”-type can
be distinguished by their metamorphic facies, insoluble residue
contents, petrographic and mineralogical features",300,,,Similar to cipollino,14,,,,,,,2720,12,2510,309,3140,309,,,,,,,image in folder,12,,,18,12,22,12,,,80,12,86,12
blanco Macael,White Macael Marble,12,calcitic marble,14,,,Pure white ,14,0.2,295,0.3,295,0.2,12,Quarried at Macael in the Almeria province of Spain; exported across southern Spain,14,,,,,"It is, next to the white Carrara marble, the most used for cemeteries, tombstones and other funerary art",301,,,,,,,,,Imperial Period,14,2720,12,,,,,,,,,,,image in folder,12,,,12.1,12,22.85,12,,,81.1,12,87.4,12
branco portugues,"White Portugal, Branco Estremoz",12,marble,14,,,White,14,0.2,295,0.3,295,0.07,12,"Quarried at Borba, near Estremoz, modern Portugal; local and probably regional use",14,,,,,,,,,,,,,,,Imperial Period,14,2710,12,2510,309,3140,309,,,,,,,image in folder,12,,,,,,,86.85,12,76.7,12,97,12
breccia rosso di Verona,"Marmi Rosso di Verona, Red Verona Marble",12,Marble breccia,14,Jurassic era formation,232,"Red-pink; ""light orange red to dark red with nodules and partly stylolitic veins""; rounded fragments and very thin veins in reddish brown to orange hues, from which the color in broad stripes on the color expands in broad stripes onto the fragments, making them almost invariably less intense.",14; 12; 273,0.2,295,0.3,295,0.19,12,"Exported regionally in small amounts from Verona, just east of Lake Garda, Italy",14,,,,,"Quite small quantities of colored marble like this, cut into thin panels for veneer and paving, could transform a building’s appearance",120,,,"there are the abundant fossils of Verona marble, from simple but fascinating ammonites that can still be seen in the slabs that cover many streets and veronese sidewalks, to the precious fossil fish of the Bolca quarry",232,"Widely used as a building block, only since the 3rd century CE",273,some of the original quarries are still exploited today,273,Imperial Period,14,2690,12,,,,,,,,,,,image in folder,232,9.8,12,,,,,160,12,,,,
granito della Sardegna,rosa/giallo/gris/bianco/grigio Sardegna/sardo,,granite,14,,,"Medium-grained, pink/light green/cream-white, the variety at Isole Marmorata was less pink, more gray",14,0.2,295,0.3,295,0.58,12,"Quarried at Capo Testa, northern Sardinia, Olbia, NE Sardinia , Isole Marmorata, off the coast of northern Sardinia , Porto Rotondo, NE Sardinia, local and regional use, mostly exported to Rome or elsewhere in Italy",14,,,,,,,,,"In antiquity, Sardinia was known for its abundance of stone ",233,,,in use in 20th and 21st centuries,233,Imperial Period; The Sardinian stone industry has been formed over the last thirty years by the development of numerous small and medium-sized enterprises located almost exclusively in the granite area in the province of Sassari and in the area of ​​the marble of Orosei in the province of Nuoro,14; 233,2640,309,2330,309,2940,309,,,,,,,image in folder,233,,,10.8,12,15,12,,,153.3,12,203,12
marmo di Aurisina,possibly the same as Breccia Carsica/Napoleon Slivia/Breccia Aurisina Marble,12,marble,14,,,brown,12,0.2,295,0.3,295,0.14,12,"Aurisina, just north of Trieste, in Italy; local use, esp. at Trieste and Aquileia",14,,,,,,,,,,,1st century BCE ,234,,,Imperial Period; The first historical signs go back to the imperial Rome.It is scientifically proven that the stone extracted from the quarries has been widely used in the construction of Aquileia from the 1st century. B.C. The 5th century A.D. Roman Quarry was reactivated in 1845 under the Austro-Hungarian Empire for the construction of important public works.,14; 234,2685,12,2510,309,3140,309,,,,,,,image in folder,234,11.2,12,,,,,177,12,,,,
Marmo pario,"Parian marble, lychnites; paria lithos; Marathi Marble","17, 14, 12",marble ,17,,,White,17,0.2,295,0.3,295,0.12,12,"Greece, Aegean, Island of Paros;  Three varieties: Paros-1 quarried at Marathi , Paros-2 at Choridaki Valley, both widely exported in Roman times, Paros-3 at Agios Minas, Central Paros - local, regional, inter-regional use",17; 14,"Columns: 24 in S. Sabina, Statues: Capitoline Venus in the Palazzo dei Conservatori. Wall stones: Mausoleum of Hardian. Sarcophagi. Holy water basins.",17,"Herodotus, Histories: 3.57.4, 5.62; Strabo, Geography: 10.5.7; Vergil, Aeneid: 1.592-3, 3.124-7; Vitruvius, Architecture: 10.2.15; Pliny the Elder, Natural History: 4.22, 4.67, 36.13, 36.19, 36.43; Pliny also notes (36.4.14, 36.5.44)) that the white stone was the primary marble for early sculptors; several such statues mentioned in Pausanias, Description of Greece: 1.14.7, 1.33.2, 1.43.5, 2.2.8, 2.29.1, 2.35.3, 4.31.6",81; 82; 83; 84; 85; 86; 87; 88; 89; 90,,"Marmo Pario has become the white marble par excellence. In fact, the Marmo pario is famous for uses both in statuary and in architecture. As for the statuary, suffice it to mention the Venus of Milos (II century BC). Regarding architecture and sculpture, the uses of the lithotype documented in the Roman period and in the following ones consist of supporting elements (columns) and ornamental elements (stele).",172,,"Paros-1 has medium crystalline grains, translucent finish, Paros-2 is coarser, sometimes gray; 95% calcite, 3% dolomite, 2% quartz ",14; 12,,,,,Used by the Greeks since the protocicladic era,172,2713,12,2510,309,3140,309,,,,,,,image in folder,172,18,12,,,,,98.5,12,,,,
Milas lilac,,,marble ,14,,,"White and purple, similar to pavonazzetto; a name that refers to purple/gray veins",14; 26,0.2,295,0.3,295,0.1,12,"Quarried at Kestanecik, 23 km N of Muğla, Turkey; ""exported regionally or inter-regionally in the Roman period""",14,,,,,,,,,,,,,,,,,2730,12,2510,309,3140,309,,,,,,,image in folder,12,,,,,,,99.96,12,,,,
negra pinta,Pinta Black Marble,12,marble,14,Cambrian,12,"Black; ""limy re-crystallized...of thin grain""",14; 12,0.2,295,0.3,295,0.1,12,"Quarried at Alconera, near Badajoz, modern Spain; local and regional use ",14,,,,,,,,,,,,,,,,,2730,12,2510,309,3140,309,,,,,,,image in folder,12,13.1,12,,,,,148,12,,,,
pedra d'Alcover,"Arenisca de Alcover,Piedra de Alcover Sandstone",12,limestone; abulated dolomite of Alcover,14; 235,"deposited during the Triassic period, about 220 million years ago",235,Yellow,12,0.2,295,0.3,295,1.89,12,"Local use, with quarries at La Lloera, NW of Alcover, Spain ",14,,,,,The dolomites of Alcover contain abundant fossils of marine and continental organisms in very good state of conservation.,235,,,Fish are the most abundant and diversified fossils of the Alcover,235,,,,,,,2850,12,,,,,,,,,,,image in folder,235,17.3,12,,,,,120.1,12,,,,
rosa Novelda,rosso Alicante/rosa Europa,12,marble,14,,,Pink-brown-white…with cloudy red-pink patches,14,0.2,295,0.3,295,0.2,12,"Quarried at Novelda, just west of Alicante, Spain; local and regional use",14,,,,,,,,,,,,,,,Imperial Period,14,2740,12,2510,309,3140,309,,,,,,,image in folder,12,9,12,,,,,90.1,12,,,,
rosa Portugues,"Poco Bravo, Rosa Borba, Rosa Aurora,Estremoz Rosa, Portogallo, Portugal Pink, Rosa Aurora Portogallo",12,Marble ,14,,,Pink-cream…with cloudy red patches and brown-red veins ,14,0.2,295,0.3,295,0.11,12,"Quarried at Vila Viçosa, near Estremoz, Portugal; local and regional use ",14,,,,,,,,,"Similar to Portasanta; which is found in Chios, Greece",14; 17,,,,,Imperial Period,14,2720,12,2510,309,3140,309,,,,,,,image in folder,12,,,12.6,12,23.8,12,,,60,12,110.7,12
Sant Vincenç,piedra de San Vincente,12,Sandstone; granite microporfido,14; 12,,,Gray,12,,,,,0.4,12,"Local use, with quarries at Sant Vincenç de Castellet, Barcelona province, Spain ",14,,,,,,,,,"40% calcite/carbonated cement, 40% quartz, 15% bioclast, 5% esparita",12,,,,,Imperial Period,14,2660,12,,,,,,,,,,,image in folder,12,,,16,12,20.77,12,102.9,12,,,,
verde Viana,"Viana Green, Verde Sampaio, Verde Viana Raminhado,Cristal Verde",12,Marble,,,,Green and white ,14,0.2,295,0.3,295,0.08,12,"Quarried at Viana, near Estremoz, Portugal ",14,,,,,,,,,Similar to cipollin,14,,,,,,,2750,12,2510,309,3140,309,,,,,,,image in folder,12,,,12.4,12,15,12,,,77.7,12,88.78,12
Africano,"marmor lucullaeum; Lucullean marble, Africano Marble, Africano Lilac, Nero Africano","17, 18, 12",breccia tettonica,17,,,"Brown/White/Black/Blue; or, gray-brown tinted with white, pink, red, yellow, black",17; 14,,,,,0.4,12,"Asia minor, Izmir, Theos; modern Turkey, under the lake of Kara Gol, 15 km NE of Teos, at Küçükkaya, 7 km north of Teos, at Turgut, exported inter-regionally ",17; 14,"Columns: Basilica Aemilia, theater of Marcellus, Forum of Augustus, Tempio della Pace, S. Peter's Basilica, S. Giovanni in Laterano, S. Giacomo e S. Maria in Vallicella. Paving stones: S. Paolo fuori le Mura, St. Peter's, S. Croce in Jerusalem, Vittoriano. Threshold: pantheon. Fountains: Pantheon, Piazza Mattei, Babuino. Wainscoting: S. Paolo fuori le Mura, S. Maria della Vittoria. Architrace: Palazzo della Valle. Acquasantiere: S. Giovanni in Laterano, wall stones. ",17,The extravagant consul Scaurus is said to have decorated his house with 38-foot columns,18,exported to Rome by 1st century BCE; used in S. Francesca Romana,119; 160,,,"the distribution of africano is especially concentrated in Italy, in particular at Rome",123,"1st Century BCE; since the Augustan era, but is later rare",119; 272,,,"Exported from Teos during the Imperial Period; per Pliny, black variety (from Melos? Chios?) introduced to Rome by L. Lucullus, consul, who lent his name to the stone, in 74 BCE",,,,2720,12,2900,12,,,,,,,image in folder,12,,,14.13,12,18.64,12,,,67.2,12,93.5,12
alabastro a pecorella,"Alabastro a pecorella minuto, Travertine, sanguigno d'Orano.",19,travertine,19,,,red/brown/white,19,,,,,,,"Algeria, Province of Orano, Aîn Tekbalet.; Bou Hanifia, 20 km SW of Mascara, Algeria",19; 14,"rotae: S. Clemente. Bust of Vespasian in the Museo dei Conservatori. Mirrors: piedistalli delle quattro colonne della quinta cappella a destra in S. Maria sopra Minerva. Cornices, vasche. ",19,"Crustae also noted 'alabaster of sheep,' writing ""I have frequently seen in various archaeological sites of Algeria. Many slabs of 'alabaster a pecorella' can still be seen in the Gemila spa. I do not know when marble was introduced in Rome, but probably not before... Severi. I found this stone in a Roman villa of the Constantinian period near the Masdelle Sette Sale circus on the Oppio hill.""",158,The most conspicuous example of this alabaster in Rome is the two large blocks that have never been put in place that can be seen in the octagonal courtyard of the Vatican Museums,158,,,"Called alabastro a pecorella called, for the special and recurring arrangement of the spots, 'a little sheep.' ",158, exported to Rome from about the 2nd century CE,112,"is often still used today, but no longer quarried",112,,,,,,,,,,,,,,,image in folder,159,,,,,,,,,,,,
alabastro fiorito,alabastra listato ,108,Alabaster,14,,,"Yellow and pink with white, brown, red stripes; spots of a blond or brazilian brown, which, due to their clarity and transparency, are reminiscent of the sardony.",14; 161,,,,,,,"Gölemezli, north of Hierapolis, modern Turkey",14,"Used for the Plutonium, temples, theatres and agoras in Hieropolis of Phyrgia ",108,"Strabo describes Hierapolis, the hot springs and the Plutonium made of alabastro fiorito; alabastro fiorito as the stone of Hierapolis",109; 110,"found in the Galleria dei Candelabri, in the bust of Faustina Maggiore, and Lucilla's bust in the Capitoline Museum",161,,,"this species of alabaster was used mainly for drapery. Stone drapery in a statue is usually made of many overlapping pieces, so that the layers would form many horizontal bands, internally welded",161,"Is used in Rome at least since the imperial era for columns, decorations, rarely sculptures",257,,,"""used locally and exported widely in the Roman Imperial period and possibly earlier""",14,2550,302,,,,,,,,,,,Image in folder,111,,,,,,,,,,,,
Alwalton Marble,,,"Limestone, from the Great Oolite Group, Cornbrash",20,Middle Jurassic Period,20,"Blue-gray, hard, with lots of fossilized oyster shells",20,0.2,295,0.3,295,0.15,302,"Quarried from the banks of the River Nene, Alwalton Lynch Escarpment, Peterborough, England; used in the Roman town of Castor nearby",20,"In later times, commonly used in column bases, capitals, effigies, and fonts of cathedrals",20,found in a capital of the Peterborough cathedral,236,,,,,"Sometimes confused with Purbeck Marble, which it resembles when polished",20,,,,,"used during, but not limited to, the 13th century",236,2484,309,1890,309,3010,309,,,,,,,image in folder,236,,,,,,,,,940,302,,
Ancaster Freestone,Ancaster Freebed,20,Oolitic limestone,20,Middle Jurassic Period,20,"Cream to pale brown/buff, medium-grained with a few pieces of shells; composition and color vary from quarry to quarry",20,0.2,295,0.3,295,6.04,12,"England: quarried at Glebe Quarry near Ancaster, Lincolnshire, and other quarries nearby; local and regional use",20; 14,"Sculptural and architectural work during Roman times, later examples include Saxon sculptures in the 7th/8th centuries CE, medieval grave slabs and effigies, postmedieval masonry at Harlaxton Manor, Wollaton Hall, and castles across England",20,,,,,,,"Durable and easier to carve than the harder Ancaster stones, such as Ancaster ""Hard White""",20,,,,,Imperial Period ,14,2276,12,1890,309,3010,309,,,,,,,image in folder,12,,,,,,,,,,,,
Ancaster Hard White,,,Oolitic limestone,20,Middle Jurassic Period,20,"Pale honey to a cream colour, rough, medium-grained, well cemented, hard; composition and color vary from quarry to quarry",20,0.2,295,0.3,295,5.83,12,"England: quarried at Glebe Quarry near Ancaster, Lincolnshire, and other quarries nearby; local and regional use",20; 14,"Sculptural and architectural work during Roman times, later examples include Saxon sculptures in the 7th/8th centuries CE, medieval grave slabs and effigies, postmedieval font of Nuthall St. Patrick Church in Nottinghamshire",20,,,,,,,Finest grained of the Ancaster stones,20,,,,,Imperial Period,14,2299,12,2276,12,2410,12,,,,,,,image in folder,12,,,,,,,,,25,12,79,12
Ancaster Weatherbed,Ancaster Rag,20,Oolitic limestone,20,Middle Jurassic Period,20,"Varies from cream/brown-yellow to blue/gray, ""mottled and/or flecked"", medium-grained with lots of shells including gastropods; many samples ""show a lenticular core of blue grey limestone (often known as 'blue hearted')",20,0.2,295,0.3,295,,,"England: quarried at Glebe Quarry near Ancaster, Lincolnshire, and other quarries nearby; local and regional use",20; 14,"Sculptural and architectural work during Roman times, later examples include Saxon sculptures in the 7th/8th centuries CE, medieval grave slabs, and effigies",20,,,,,,,"Harder than the other Ancaster stones, it comes in two varieties: the upper Red Weatherbed and the lower Brown Weatherbed ",20,,,,,Imperial Period,14,,,2276,12,2410,12,,,,,,,Image in folder,12,,,,,,,,,65,12,79,12
Barnack Rag Stone,"Barnack Stone, Barnack Mill Stone",20,Oolitic limestone,20,Middle Jurassic Period,20,"Coarse, hard, shelly, poorly sorted, contains ooliths and shells in alternating layers as well as ""sparry calcite""",20,0.2,295,0.3,295,,,"Quarried from Roman through Medieval times at Hills and Holes quarry, Barnack, near Peterborough, Eastern England; local and regional use",20; 14,"Ashlar masonry, later examples include parts of Ely and Peterborough Cathedrals",20,,,,,,,Most common of three varieties of Barnack Stone; the other two were used in carving and rubblestone walling,20,,,,,Imperial Period,14,2484,309,1890,309,3010,309,,,,,,,image in folder,237,,,,,,,,,,,,
Beer Stone,,,Limestone,20,Upper Cretaceous Period; 65 – 140 million years ago,20; 238,"White/gray-white, sometimes tinted green; fine and well sorted, containing shells and some quartz and glauconite",20,0.2,295,0.3,295,,,"Thought to have been quarried underground at Beer Quarry, near Seaton, SW England",20,"the wall quoins (outside angles), flue linings, and floor supports of the Bath House at Seaton Roman Villa in Devon, Rome; Beer stone is in many prestigious buildings, including Exeter, Winchester, St.Paul's and Norwich Catholic Cathedrals, Westminster Abbey and the Tower of London, United Kingdom, at Exeter Cathedral the great image screen on the west front is of Beer stone, giving it a particulary warm and reflective quality. Much of the Cathedral's interior too, including nearly all the fine carving and the ribbed vaulting originated in this quarry. It can be found in 24 of Britain's 44 cathedrals.",20; 238,,,Freshly quarried Beer Stone is saturated with water and with very few fossils was much prized by the masons as it is ideally suited to fine detail carving.,238,,,"Suitable for carving, ""well suited for interior work""",20,,,,,"used heavily in English cathedrals, but after 1540 because of the reformation the quarry was worked spasmodically and most of the stone went to secular buildings including The Guidhall at Exeter, Shute House near Colyton and Bovey House in Beer. During the victorian church restoration's the quarry became busy once again.",238,1860,303,,,,,,,,,,,image in folder,238,,,,,,,,,,,,
bigio antico,"Marmor batthium, marmor lesbium, bigio dell'Asia minore.",21,marble,21,,,Grey/Beige/White,21,0.2,295,0.3,295,,,"Asia Minor, Island of Lesbos/Teos; widely exported during the Imperial Period, Turkey, 19 km NE of Ephesos, at Hasançavuslar (exported inter-regionally), Turkey, 2.4 km NE of Iznik in Bithynia et Pontus (local use), Turkey, Panayirdağ, near Ephesos (local use) ",21; 14,"Columns: portico of S. Lorenzo fuori le Mura, atrium and porta maggiore of S. Croce in Jerusalem, Chapel of S. Benedetto in S. Paolo fuori le Mura, Capella Salviati di S. Gregorio Magno. S. Clemente and S. Lorenzo in Borgo. Paving stones: S. Croce in Jerusalem, S. Clemente. Fonts: S. Giovanni in Laterano, S. Croce in Jerusalem, S. Lorenzo fuori le Mura, S. Clemente. revetement stones.",21,"Pliny the Elder mentions as a sculpting stone, noting its slightly blue tint",91,this marble is mentioned in the edict of Diocletian who fixes the price at a sum equivalent to three gold liras per cubic foot,166,,,the 'ancient gray' marble was very inconspicuous and certainly never considered especially luxurious,166,have been used since Flavian times in Rome; 69 CE,282; 259,,,Exported from Lesbos during the Imperial Period,14,,,,,,,,,,,,,image in folder,112,,,,,,,,,,,,
Black Pasture Stone,,,Sandstone,20,Upper Cretaceous Period,20,"Yellow-brown-pink with brown specks, tough, hard, fine- to medium-grained, granular",20,,,,,,,"Quarried from the area around Chollerford, Northern England, near Milecastle 26 on Hadrian's Hall and the Roman fort, Cilurnum [[6]]",20,"Hadrian's Wall, c. 120 CE; according to J. Watson, also used in the piers of the bridge that spanned the North Tyne, possibly a reference to the Aelian Bridge between Newcastle and Gateshead, constructed 122 CE ",20,,,,,,,Regarded as an excellent building stone,20,,,,,,,2463,309,1510,309,3000,309,,,,,,,image in folder,239,,,,,,,,,,,,
